DB_ID,"Voucher Number",Date,Name,Particulars,Whom,"Product Id","Product Name",Quantity,Cost,"Debit Balance","Credit Balance"
189,58,2006-04-08,"3M INDIA LTD","Purchase From",,4202,"3M HIP GREEN",16200,95.750,0.00,1551150.00
184,99,2006-04-26,"KHAN ANAND PARBAT","Purchase From",,"D 002",DELINATOR,213,155.000,0.00,33015.00
172,97,2006-04-25,"ALEXIS INFRA PG","Purchase From",,4601,"3M EGP RED",1,32000.000,0.00,32000.00
168,94,2006-04-25,"ALEXIS INFRA PG","Purchase From",,4200,"3M HIP WHITE",257,97.500,0.00,25057.50
165,92,2006-04-23,"H2 SAFETY","Purchase From",,"G 004",GLOVES,500,120.000,0.00,60000.00
161,89,2006-04-23,"H2 SAFETY","Purchase From",,"C 03","CONES 750 MM HEAVY",500,255.000,0.00,127500.00
157,87,2006-04-22,SUNRISE,"Purchase From",,R012,"3M RPM MOULDED R/R",300,110.000,0.00,33000.00
156,87,2006-04-22,SUNRISE,"Purchase From",,"R 011","3M RPM MOULDED W/W",1200,110.000,0.00,132000.00
148,85,2006-04-21,SUNRISE,"Purchase From",,"R 011","3M RPM MOULDED W/W",500,110.000,0.00,55000.00
129,80,2006-04-19,"PAWAN ARORA","Purchase From",,"SB 02","SPEED BREAKER(R) B/B",110,425.000,0.00,46750.00
128,80,2006-04-19,"PAWAN ARORA","Purchase From",,"SB 01","SPEED BREAKER (R) Y/Y",110,425.000,0.00,46750.00
113,76,2006-04-18,"ALEXIS INFRA PG","Purchase From",,4200,"3M HIP WHITE",10,105.000,0.00,1050.00
111,76,2006-04-18,"ALEXIS INFRA PG","Purchase From",,4200,"3M HIP WHITE",3,100.000,0.00,300.00
99,73,2006-04-16,"3M INDIA LTD","Purchase From",,4203,"3M HIP BLUE",5400,95.750,0.00,517050.00
98,70,2006-04-16,"KHAN ANAND PARBAT","Purchase From",,"RG 14","RAIL GAURD  REFLECTOR",60,85.000,0.00,5100.00
97,70,2006-04-16,"KHAN ANAND PARBAT","Purchase From",,"SD 03","SOLAR DEL.BIG R/R",6,650.000,0.00,3900.00
74,62,2006-04-13,"ALEXIS INFRA PG","Purchase From",,4214,"MN HIP GREEN",192,0.000,0.00,0.00
73,62,0006-04-13,"ALEXIS INFRA PG","Purchase From",,4212,"MN HIP WHITE",227,0.000,0.00,0.00
50,56,2006-04-07,"3M INDIA LTD","Purchase From",,4204,"3M HIP YELLOW",7800,95.750,0.00,746850.00
49,56,2006-04-07,"3M INDIA LTD","Purchase From",,4200,"3M HIP WHITE",27000,95.750,0.00,2585250.00
47,51,2006-04-04,"KHAN ANAND PARBAT","Purchase From",,"SH 01",SHANKS,5000,0.000,0.00,0.00
45,47,2006-04-01,"H2 SAFETY","Purchase From",,"G 004",GLOVES,500,125.000,0.00,62500.00
42,51,2006-04-04,"KHAN ANAND PARBAT","Purchase From",,"D 002",DELINATOR,250,0.000,0.00,0.00
29,53,2006-04-05,"3M INDIA LTD","Purchase From",,"R 001","3M RPM R/R",4606,77.000,0.00,354662.00
18,54,2006-04-05,SETHI,"Purchase From",,B03,BLINKER,69,4400.000,0.00,303600.00
-,-,-,-,-,-,-,-,-,SUM,0.00,16750744.62
